tempo,MFCC,harmonic_element,rating
-339.124141698,123.046875,-2.69174870482e-06,1
-132.067124543,99.3840144231,-7.84297080827e-05,2
-135.129307528,92.28515625,-9.88950858982e-08,2
-151.254258181,92.28515625,-7.43e-07,2
-135.227859845,99.3840144231,-9.28887766349e-06,2
-101.23643989,99.3840144231,0.0025236886,0
-81.9030506312,92.28515625,4.03835628049e-07,0
-114.925675702,95.703125,-4.13427727608e-08,0
-98.7061868944,123.046875,-5.78930951178e-07,0
-149.428730534,95.703125,-4.46850935987e-06,2
-162.178570957,123.046875,-8.39212816572e-07,2
-178.416233258,95.703125,-9.53419743155e-08,2
-162.590945902,135.999177632,-5.65693369481e-07,2
-132.91470474,99.3840144231,-2.44967964136e-06,2
-183.512432062,89.1029094828,-9.76035181566e-08,2
-157.440720825,135.999177632,-3.04053719447e-05,2
-153.745413286,172.265625,2.90341176878e-07,2
-119.276453299,95.703125,6.19536440354e-05,0
-256.010552357,151.999080882,-0.0003222398,2
-105.453385134,112.347146739,-1.46506749843e-07,0
-160.937680382,143.5546875,-2.18068839786e-06,2
-63.324362906,135.999177632,2.02017849915e-06,0
-67.9400571406,129.19921875,9.1529710744e-07,0
-141.383466482,123.046875,-1.74e-06,2
-194.903011168,151.999080882,4.60716975681e-08,2
-110.381804696,103.359375,1.21760024285e-07,0
-150.740999079,143.5546875,1.35521770517e-06,2
-184.704556682,151.999080882,0.0001230331,2
-152.727812997,99.3840144231,-0.000413764,2
-171.326790942,95.703125,0.000686357,2
-242.939857965,95.703125,0.0063447766,2
-79.3605826393,112.347146739,-4.70751292596e-05,0
-206.846041969,92.28515625,-9.55162022365e-07,2
-170.868472138,161.499023438,-3.08967873508e-09,2
-132.058238254,107.666015625,-3.63671347259e-07,2
-123.332454435,151.999080882,1.98030907228e-08,0
-161.455644624,135.999177632,0.0037379889,2
-156.694508937,112.347146739,8.522e-06,2
-125.910524629,129.19921875,0.0002079842,0
-94.2151980308,143.5546875,1.43108263728e-06,0
-171.011113737,135.999177632,-2.48820242632e-07,2
-188.657424757,129.19921875,-1.35620425112e-07,2
-180.276742517,129.19921875,-1.1327294942e-06,2
-165.224925298,172.265625,-2.01615080186e-06,2
-89.3585728681,95.703125,-1.51771700985e-06,0
-155.607767056,99.3840144231,1.19529602216e-06,2
-157.059708148,99.3840144231,1.07142568595e-06,2
-109.326152911,129.19921875,3.73616567231e-05,0
-153.35837843,99.3840144231,-6.10350070929e-07,2
-126.517461246,107.666015625,3.60759963769e-06,0
-148.78095048,103.359375,-2.88779142466e-06,2
-136.594576405,117.453835227,-1.01e-07,2
-98.2015699072,95.703125,4.72774663649e-05,0
-181.838338743,135.999177632,5e-09,2
-165.727565802,103.359375,-2.509e-06,2
-93.9163535433,107.666015625,1.61910622865e-06,0
-201.991728838,112.347146739,4.53360968322e-07,2
-198.742745666,117.453835227,-1.88432488812e-06,2
-175.836561824,112.347146739,6.78401192999e-07,2
-130.031067345,107.666015625,-5.9893782236e-06,0
-75.9373199591,129.19921875,8.31925535749e-06,0
-185.193110477,123.046875,1.08136759991e-06,2
-121.074944125,129.19921875,-1.2885414435e-05,0
-109.21177743,143.5546875,-6.24532776783e-06,0
-94.2350044281,112.347146739,-3.43865735886e-06,0
-139.690319323,95.703125,-7.26e-07,2
-130.112820199,95.703125,-1.496e-06,0
-128.356922593,103.359375,-1.18405850458e-07,0
-107.392752062,107.666015625,-2.2227625962e-08,0
-72.4644448994,161.499023438,0.0023048143,0
-95.0072759732,143.5546875,8.58175008034e-06,0
-107.604627202,129.19921875,-3.85505081795e-05,0
-166.290464266,129.19921875,-2.85687474388e-06,2
-166.963888903,123.046875,1.83922857104e-05,2
-14.6886731046,129.19921875,1.00810325421e-06,0
-286.94827189,123.046875,-2.80230665339e-06,2
-153.231693454,161.499023438,1.23734878343e-07,2
-137.944905183,112.347146739,-1.80844508577e-05,2
-140.961671267,135.999177632,-1.880775784e-07,2
-210.058819644,117.453835227,-1.06946849598e-07,2
-147.534347875,99.3840144231,-1.85529370356e-06,2
-257.531176148,99.3840144231,0.0004378003,2
-101.861364359,129.19921875,-1.79724538611e-05,0
-132.336056254,83.3543346774,-1.44144109981e-06,2
-205.026895178,161.499023438,-6.9417734494e-07,2
-197.39560239,135.999177632,5.07613719947e-07,2
-148.737658669,112.347146739,-2.91787387141e-06,2
-120.398826708,117.453835227,6.76248532727e-07,0
-138.15639688,123.046875,-1.88807177892e-07,2
-146.032463562,135.999177632,-4.53778739029e-06,2
-133.781829297,112.347146739,0.0001413386,2
-109.921070948,123.046875,-1.03893989944e-06,0
-136.635005642,129.19921875,-7.0918702022e-07,2
-59.8937883928,129.19921875,-6.72268356539e-07,0
-131.769376219,95.703125,-7.81793403348e-08,2
-124.148307371,161.499023438,0.0011080995,0
-149.92574242,117.453835227,-2.78932202491e-06,2
-125.550481596,89.1029094828,-2.6391207939e-06,0
-179.258502868,89.1029094828,4.4268934289e-05,2
-117.914988277,135.999177632,0.0001838345,0
-199.588058972,117.453835227,2.83482876284e-07,2
-150.259795881,92.28515625,-9.70266773948e-06,2
-83.7147347231,99.3840144231,4.91770770168e-05,0
-82.420572055,107.666015625,-1.71973842953e-05,0
-113.189836371,117.453835227,1.2468069599e-07,0
-159.43554192,107.666015625,-0.0005044002,2
-226.83981119,95.703125,-4.22247069309e-07,2
-87.7157620838,89.1029094828,-6.119e-06,0
-192.634702602,161.499023438,-1.06818617951e-06,2
-177.085805722,112.347146739,-6.89196753001e-08,2
-147.443779265,107.666015625,-8.00664747658e-06,2
-28.212362911,112.347146739,0.0002317766,0
-113.889628435,117.453835227,4.73592854178e-06,0
-106.593609413,95.703125,0.0002492226,0
-56.5910387596,143.5546875,-7.26642994664e-08,0
-84.8280561207,86.1328125,1.09797583718e-05,0
-198.823894067,135.999177632,-4.25221287514e-06,2
-134.115400528,135.999177632,-3.00980937027e-05,2
-164.501047781,123.046875,-4.062e-06,2
-125.053789867,112.347146739,8.95460016181e-06,0
-139.046637851,151.999080882,-4.61337986053e-05,2
-151.424140179,143.5546875,2.72539040225e-07,2
-95.8774768927,129.19921875,-2.86221137458e-07,0
-310.22855162,135.999177632,-9.44789462665e-07,1
-96.3329984248,129.19921875,-8.39287679355e-07,0
-105.173546189,92.28515625,-4.03773083235e-06,0
-95.3305159364,151.999080882,-1.14036247396e-05,0
-226.751291525,92.28515625,4.99687587308e-07,2
-147.519829537,161.499023438,3.53784053004e-05,2
-194.600607883,143.5546875,-8.90245701157e-07,2
-133.060722093,95.703125,-4.693e-06,2
-136.546589793,99.3840144231,-6.05941095273e-05,2
-77.3910537382,107.666015625,4.52e-07,0
-68.4072644784,123.046875,0.0004120948,0
-152.690414383,143.5546875,-1.0326495925e-07,2
-134.237939172,123.046875,-4.03812873628e-06,2
-136.228833032,143.5546875,-1.2659789661e-07,2
-151.654605657,95.703125,-1.42687133575e-06,2
-102.417338473,107.666015625,-3.0842538763e-06,0
-90.0635882282,151.999080882,0.0048928438,0
-189.074247372,117.453835227,3.6e-08,2
-172.364700726,95.703125,-8.64433877723e-06,2
-179.677444271,92.28515625,-6.05111097229e-07,2
-207.631898314,95.703125,-0.0001604862,2
-155.649714874,112.347146739,-8.34106867842e-06,2
-212.090782484,89.1029094828,7.90401657014e-07,2
-164.935639379,135.999177632,-2.07540301744e-06,2
-131.659721621,89.1029094828,-6.6630942456e-05,2
-147.622250862,123.046875,2.25386074248e-08,2
-158.191362422,112.347146739,-2.15705472328e-06,2
-44.7805571434,123.046875,-3.1085135106e-06,0
-108.264453609,112.347146739,1.04586797534e-06,0
-80.332415857,107.666015625,-0.0074139377,0
-47.7757323215,95.703125,8.20379227662e-06,0
-178.842927042,117.453835227,-1.18653549208e-08,2
-115.984755046,99.3840144231,-3.376e-06,0
